Id,Label,Interval,lat,lon,type,Eccentricity,Closeness Centrality,Harmonic Closeness Centrality,Betweenness Centrality,Degree,Modularity Class,Component ID
1,Cyprus,,35.1264,33.4299,site,4,0.424242424,0.550595238,188,9,3,0
2,Mycenae,,41.8,21.3,site,1,1,1,6,4,7,3
3,Transylvania,,41.855,22.3113,site,1,1,1,0,1,1,4
4,Southern Alps,,40.6,22.9,site,1,1,1,3,3,2,5
5,Taurus Mountains,,39.2238,9.1217,site,5,0.301075269,0.349404762,0,1,3,0
6,Alaca Huyuk,,43.3833,27.9,site,5,0.301075269,0.349404762,0,1,3,0
7,Dupljaja,,42.2833,25.9333,site,5,0.301075269,0.349404762,0,1,3,0
8,Morava valley,,42.5,25.5,site,5,0.301075269,0.349404762,0,1,3,0
9,Donja Brnjica,,42.6833,26.3333,site,5,0.301075269,0.349404762,0,1,3,0
10,Balkans,,42.5,25,site,5,0.301075269,0.349404762,0,1,3,0
11,Vardarski Rid,,42.0042,20.9706,site,3,0.509090909,0.529761905,171,2,3,0
12,Northern Greece,,37.7303,22.7575,site,3,0.608695652,0.773809524,330.5,18,0,0
13,Sardinia,,43.5,19,site,5,0.301075269,0.349404762,0,1,3,0
14,Kamenovo,,44.7333,21,site,5,0.301075269,0.349404762,0,1,3,0
15,Yabalkovo,,43.286,20.195,site,4,0.383561644,0.43452381,0,1,0,0
16,Cernozem,,43.0594,22.4117,site,4,0.383561644,0.43452381,0,1,0,0
17,Kirilovo,,43.6906,21.402,site,4,0.383561644,0.43452381,0,1,0,0
18,Cerkovo,,43.3196,21.8963,site,1,1,1,0,1,4,1
19,Tetovo,,41.6103,20.0089,site,4,0.383561644,0.43452381,0,1,0,0
20,Paleznica hoard,,40.4556,20.2964,site,4,0.383561644,0.43452381,0,1,0,0
21,Klicevac-Rastovaca hoard,,41.5833,19.9833,site,4,0.383561644,0.43452381,0,1,0,0
22,Brnjica,,40.598,19.578,site,4,0.383561644,0.43452381,0,1,0,0
23,Babusnica,,46.7667,23.5833,site,4,0.383561644,0.43452381,0,1,0,0
24,Juzna Morava Valley,,42.592556,20.668569,site,4,0.383561644,0.43452381,0,1,0,0
25,Western and central Balkans,,45.857,26.3829,site,4,0.394366197,0.458333333,13,2,5,0
26,Burrel,,47.2805,23.044,site,4,0.394366197,0.458333333,13,2,5,0
27,Germenj,,47.36,21.46,site,4,0.383561644,0.43452381,0,1,0,0
28,Komsi,,46.45,26.4,site,4,0.383561644,0.43452381,0,1,0,0
29,Varibop,,40.491,22.395,site,1,1,1,0,1,6,2
30,Lglarevo,,41.99646,21.43141,site,4,0.383561644,0.43452381,0,1,0,0
31,Sarata Monteoru,,40.29,22.19,site,2,0.571428571,0.625,0,1,7,3
32,Oarta de Sus,,39.9811,23.8994,site,2,0.571428571,0.625,0,1,7,3
33,Hajdusamson,,37.9764,23.7193,site,2,0.571428571,0.625,0,1,7,3
34,Costisa,,46,11,site,1,1,1,0,1,4,1
35,Kastanas,,39.6,22.2,site,2,0.571428571,0.625,0,1,7,3
36,Klucka,,42.99096,21.936212,site,1,1,1,0,1,1,4
37,Vergina,,43.12,27.196,site,2,0.6,0.666666667,0,1,2,5
38,Torone,,42.9,24.45,site,2,0.6,0.666666667,0,1,2,5
39,Kerameikos,,43.398,25.225,site,2,0.6,0.666666667,0,1,2,5
40,Thessaly,,37,35,site,4,0.383561644,0.43452381,0,1,0,0
41,Hisar Hill,,40.1404,34.4144,site,5,0.291666667,0.345833333,0.5,2,5,0
42,Cerkovna,,44.5522,21.1623,site,4,0.383561644,0.43452381,0,1,0,0
43,Plovdiv,,43.413419,21.24719,site,4,0.383561644,0.43452381,0,1,0,0
44,Zimnicea,,42.4216,21.0813,site,1,1,1,0,1,6,2
